hora,test,s0,s1,s2,s3,error,corr,left,right,kp,kd,estado
11:59:36,1,916,33,18,143,0.75,0.03,179,180,0.03,0.02,centrado
11:59:36,1,942,27,23,23,2.77,0.09,179,180,0.03,0.02,vuelta_derecha
11:59:36,1,55,855,843,24,0.88,0.02,179,180,0.03,0.02,desviado
11:59:36,1,36,43,597,38,0,0,-40,200,0.03,0.02,recuperacion
11:59:37,1,39,47,431,72,0,0,-40,200,0.03,0.02,recuperacion
11:59:37,1,31,445,864,30,-0.92,-0.03,180,179,0.03,0.02,desviado
11:59:37,1,27,731,863,54,0,0,179,180,0.03,0.02,centrado
11:59:37,1,18,703,850,77,0,0,180,180,0.03,0.02,centrado
11:59:37,1,40,414,894,28,-0.8,-0.03,180,179,0.03,0.02,desviado
11:59:37,1,20,101,851,32,-0.98,-0.03,180,179,0.03,0.02,desviado
11:59:37,1,31,46,430,179,-0.56,-0.01,-40,200,0.03,0.02,recuperacion
11:59:37,1,28,903,344,94,0,0,179,180,0.03,0.02,centrado
11:59:37,1,60,694,22,81,0.92,0.03,179,180,0.03,0.02,desviado
11:59:37,1,159,729,26,57,0,0,180,179,0.03,0.02,centrado
11:59:38,1,74,858,861,117,0,0,180,179,0.03,0.02,centrado
11:59:38,1,419,37,23,130,1.49,0.04,200,-40,0.03,0.02,recuperacion
11:59:38,1,20,19,17,12,0,0,200,-40,0.03,0.02,recuperacion
11:59:38,1,30,26,23,117,0,0,200,-40,0.03,0.02,recuperacion
11:59:38,1,619,60,5,113,0.75,0.03,179,180,0.03,0.02,centrado
11:59:38,1,37,859,34,195,0.77,0.02,179,180,0.03,0.02,desviado
11:59:38,1,37,888,444,203,0.98,0.03,179,180,0.03,0.02,desviado
11:59:38,1,19,881,379,85,1,0.03,179,180,0.03,0.02,desviado
11:59:38,1,54,891,771,68,0,0,180,179,0.03,0.02,centrado
11:59:39,1,54,801,864,94,0,0,180,180,0.03,0.02,centrado
11:59:39,1,45,911,672,39,0,0,180,180,0.03,0.02,centrado
11:59:39,1,30,26,23,17,0.81,0.02,200,-40,0.03,0.02,recuperacion
11:59:39,1,40,39,23,62,0,0,200,-40,0.03,0.02,recuperacion
11:59:39,1,33,46,24,187,0,0,200,-40,0.03,0.02,recuperacion
11:59:39,1,933,101,23,66,1.73,0.06,179,180,0.03,0.02,desviado
11:59:39,1,59,867,36,103,1.1,0.03,179,180,0.03,0.02,desviado
11:59:39,1,903,121,29,123,2.65,0.08,179,180,0.03,0.02,vuelta_derecha
11:59:39,1,39,20,15,11,0,0,200,-40,0.03,0.02,recuperacion
11:59:40,1,887,70,30,205,2.07,0.07,179,180,0.03,0.02,desviado
11:59:40,1,60,891,134,152,0.99,0.03,179,180,0.03,0.02,desviado
11:59:40,1,313,634,31,72,0.96,0.03,179,180,0.03,0.02,desviado
11:59:40,1,30,27,20,22,0.8,0.02,200,-40,0.03,0.02,recuperacion
11:59:40,1,21,18,13,40,0,0,200,-40,0.03,0.02,recuperacion
11:59:40,1,32,31,23,48,0,0,200,-40,0.03,0.02,recuperacion
