t,x,y,theta,s0,s1,s2,s3,error,P,I,D,pwm_l,pwm_r,vx,omega,on_line,estado,corr_bloqueada
0.001,0.643,1.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,centrado,False
0.006,0.6430318297277201,1.39199999440981,-0.0007866277051832937,201.0,604.0,62.0,76.0,-972.4284199363733,-38.897136797454934,-0.0,0.0,0.75,0.0,0.021008832941443636,-0.5205401103704727,True,desviado,False
0.011000000000000003,0.6432819384137368,1.3919992344186547,-0.0052600271998142056,156.0,603.0,64.0,72.0,-883.7988826815642,-35.35195530726257,-0.0,106.35544470577088,0.0,0.75,0.06865025275679928,-0.5942444335999159,True,recuperacion,False
0.016000000000000007,0.6437548253834272,1.3919967283772816,-0.004097366374229519,152.0,603.0,74.0,72.0,-853.496115427303,-34.13984461709212,-0.0,110.81213199915305,0.0,0.75,0.11122639095478669,0.7438653074950097,True,recuperacion,False
0.017000000000000008,0.6438740066081602,1.3919962400454062,-0.0031199400984033314,152.0,603.0,74.0,72.0,-853.496115427303,-34.13984461709212,-0.0,110.81213199915305,0.0,0.75,0.1191822251717179,0.9774262758261875,True,recuperacion,False
0.022000000000000013,0.6445831991103487,1.3919961381049386,0.004928383504927509,152.0,604.0,54.0,80.0,-860.6741573033707,-34.42696629213483,-0.0,68.95484214812588,0.0,0.75,0.15638575541732547,2.0006826464685994,True,desviado,False
0.027000000000000017,0.6454663241811538,1.3920043987322657,0.014358718135871801,271.0,606.0,51.0,83.0,-1106.8249258160238,-44.27299703264095,-0.0,-247.1125327114956,0.75,0.0,0.1896337705127834,1.29121707662959,True,desviado,False
0.03200000000000002,0.646504839237586,1.392020727579366,0.016249571355203805,413.0,607.0,62.0,82.0,-1321.3058419243987,-52.85223367697595,-0.0,-430.35587222809687,0.75,0.0,0.21934682463668095,-0.18651745002313191,True,desviado,False
0.037000000000000026,0.6476822983598817,1.3920382050147642,0.011666306577338765,436.0,605.0,74.0,87.0,-1312.811980033278,-52.51247920133112,-0.0,-291.05647629032285,0.75,0.0,0.24590075824248817,-1.368216876218613,True,recuperacion,False
0.04200000000000003,0.6489840110855586,1.3920492679856606,0.0050068742647300345,337.0,606.0,76.0,112.0,-1065.4288240495137,-42.617152961980544,-0.0,93.12025377729118,0.0,0.75,0.26963145206485467,-0.7854534064217727,True,recuperacion,False
0.047000000000000035,0.6503967320460804,1.3920551520770494,0.002230839458319968,372.0,601.0,74.0,99.0,-1174.520069808028,-46.98080279232112,-0.0,-65.72531726611338,0.75,0.0,0.2908390756753825,-0.9367713175109953,True,desviado,False
0.048000000000000036,0.6506915332731505,1.39205580973235,0.001068942277154183,372.0,601.0,74.0,99.0,-1174.520069808028,-46.98080279232112,-0.0,-65.72531726611338,0.75,0.0,0.29480196063211184,-1.1618971811657848,True,desviado,False
0.05300000000000004,0.6522219627425778,1.392052552416998,-0.007787568714829982,403.0,595.0,78.0,77.0,-1296.6175195143105,-51.86470078057242,-0.0,-192.52466173381845,0.75,0.0,0.3133334315410687,-2.148198427590219,True,desviado,False
0.058000000000000045,0.6538389412109601,1.3920335596850688,-0.0158710808529353,340.0,614.0,90.0,116.0,-1031.0344827586207,-41.241379310344826,-0.0,183.93238089315494,0.0,0.75,0.32989461862343655,-0.9438081779785521,True,recuperacion,False
0.06300000000000004,0.6555332479779719,1.3920054782129272,-0.016239897358245492,273.0,686.0,98.0,86.0,-1005.2493438320209,-40.20997375328084,-0.0,159.69483333712816,0.0,0.75,0.3446950043523763,0.4643297964132855,True,recuperacion,False
0.06800000000000005,0.6572968145348236,1.39198017954544,-0.010439506040282556,343.0,773.0,91.0,119.0,-1021.1161387631976,-40.8446455505279,-0.0,92.74622941857776,0.0,0.75,0.3579217988228416,1.5903749732232826,True,desviado,False
0.07300000000000005,0.6591223617021943,1.3919664462070953,-0.004799879999469673,492.0,775.0,80.0,122.0,-1228.7270251872021,-49.149081007488086,-0.0,-184.21070311580104,0.75,0.0,0.3697423077722704,0.4977337010987806,True,desviado,False
0.07800000000000006,0.6610032164541262,1.391957190771115,-0.0063853649920064415,533.0,773.0,74.0,113.0,-1312.1232417950434,-52.48492967180174,-0.0,-229.02295211047033,0.75,0.0,0.38030604883103736,-0.8210420095083468,True,desviado,False
0.07900000000000006,0.6613854886644592,1.3919547497903504,-0.007436593302773608,533.0,773.0,74.0,113.0,-1312.1232417950434,-52.48492967180174,-0.0,-229.02295211047033,0.75,0.0,0.3822800036360345,-1.0512283107671665,True,desviado,False
